meituan,ctrip,qunai,result
锦江之星(南京火车站中央门店),锦江之星(南京火车站中央门店),锦江之星酒店南京火车站中央门店,yes
如家酒店(南京虹桥中心三牌楼大街店),如家快捷酒店(南京虹桥中心三牌楼大街店),如家快捷酒店南京虹桥中心三牌楼大街店,yes
锦江之星(南京中山北路虹桥中心店),锦江之星(南京中山北路虹桥中心店),锦江之星酒店南京中山北路虹桥中心店,yes
格林豪泰酒店(南京火车站汽车总站店),格林豪泰(南京火车站汽车总站店),格林豪泰酒店南京火车站汽车总站店,yes
南京玄武湖假日酒店,南京玄武湖假日酒店,南京玄武湖假日酒店,yes
永春旅馆,南京永春旅馆,南京永春旅馆,yes
南京新街口书香世家酒店,书香世家酒店(南京新街口管家桥店),南京新街口书香世家酒店,yes
苹果酒店(湖南路丁家桥店),苹果酒店(南京丁家桥店),南京苹果酒店湖南路店,yes
锦江之星(南京长途汽车东站店),锦江之星(南京长途汽车东站店),锦江之星酒店南京长途汽车东站店,yes
张帅快捷宾馆(莫愁湖地铁站店),南京张帅快捷旅店,张帅快捷旅馆,yes
铂纳屋湖景公寓(会展中心玄武湖店),铂纳屋湖景公寓(南京玄武湖店),南京铂纳屋湖景公寓玄武湖店,yes
莱柠酒店公寓(南京河西万达店),莱柠酒店公寓(南京河西万达店),南京莱柠酒店公寓,yes
7天连锁酒店(南京三牌楼虹桥中心店),7天连锁酒店(南京三牌楼虹桥中心店),7天酒店南京三牌楼虹桥中心店,yes
198快捷宾馆,南京198快捷宾馆,南京198快捷宾馆,yes
全季酒店(南京虹桥中山北路店),全季酒店(南京虹桥中山北路店),全季酒店南京虹桥中山北路店,yes
如家商旅酒店(南京玄武湖新模范马路地铁站店),如家商旅酒店(南京玄武湖新模范马路地铁站店),如家商旅酒店南京玄武湖新模范马路地铁站店,yes
九九聚家商务宾馆,南京九九聚家商务宾馆,南京九九聚家商务宾馆,yes
陶李宾馆(莫愁湖地铁站店),南京陶李宾馆,南京陶李宾馆莫愁湖店,yes
蓝鲸太空舱,南京蓝鲸太空舱主题青旅,南京蓝鲸太空舱主题青旅,yes
橘子青年旅社,南京橘子青年旅社,南京橘子青年旅社,yes
如家NEO酒店(南京长途汽车东站林业大学新庄地铁站店),如家快捷酒店(南京长途汽车东站林业大学新庄地铁站店),如家酒店·NEO南京长途汽车东站林业大学新庄地铁站店,yes
清沐精选云酒店(南京林业大学蒋王庙店),清沐精选云酒店(南京林业大学蒋王庙店),清沐精选云酒店(南京林业大学花园路店),yes
清沐连锁酒店(万达广场东宝路店),清沐连锁酒店(南京万达广场东宝路店)(原君诺宾馆),清沐连锁酒店南京万达广场东宝路店,yes
汉庭优佳(南京玄武门店),汉庭酒店(南京玄武门店),汉庭酒店南京玄武门店,yes
布丁酒店(南京虎踞北路艺术学院店),布丁酒店(南京虎踞北路艺术学院店),布丁酒店南京虎踞北路艺术学院店,yes
明志发宾馆,南京明志发宾馆鼓楼地铁站店,南京明志发宾馆鼓楼地铁站店,yes
如家酒店(南京新城市广场龙江地铁站店),如家快捷酒店(南京新城市广场龙江地铁站店),如家快捷酒店南京新城市广场龙江地铁站店,yes
都市118连锁酒店(会展中心店),南京都市118连锁酒店玄武湖国展中心店,南京都市118连锁酒店玄武湖国展中心店,yes
锦江之星酒店(南京火车南站店),锦江之星(南京火车南站店),锦江之星酒店南京火车南站店,yes
肯定精品酒店(虹悦城店),肯定精品酒店(南京银桥市场店),南京肯定精品酒店虹悦城店,yes
维尼酒店公寓(河西万达店),维尼酒店公寓(南京河西万达店),南京维尼酒店公寓河西万达店,yes
肯定宾馆连锁(省妇幼保健院店)(原龙江3店),肯定宾馆连锁(南京龙江三店),南京肯定宾馆连锁龙江3店,yes
南京苏宁索菲特银河大酒店,南京索菲特银河大酒店,南京索菲特银河大酒店,yes
凯克酒店式公寓(河西万达店),凯克酒店公寓(南京万达广场店),南京凯克酒店公寓万达广场店,yes
feel酒店公寓(万达店),南京feel酒店公寓（河西万达店）,南京feel酒店公寓河西万达店,yes
郁香庭宾馆(三牌楼邮电大学店),郁香庭宾馆(南京三牌楼店),南京郁香庭宾馆三牌楼店,yes
维也纳酒店(南京奥体中心店),维也纳酒店(南京奥体中心店),维也纳酒店南京奥体中心店,yes
如家酒店(南京火车站小市地铁站店),如家快捷酒店(南京火车站小市地铁站店),如家快捷酒店南京火车站小市地铁站店,yes
紫荆国际酒店式公寓(南站店),南京紫荆国际酒店公寓,南京紫荆寓见酒店式公寓南站店,yes
橙忆酒店公寓(南京河西万达店),橙忆酒店公寓(南京河西万达店),南京橙忆酒店公寓河西万达店,yes
汉庭(南京工业大学虹桥店),汉庭酒店(南京工业大学虹桥店),汉庭酒店南京工业大学虹桥店,yes
汉庭(南京火车站店),汉庭酒店(南京火车站店),汉庭酒店南京火车站店,yes
骏怡连锁酒店(虎踞北路古平岗店),骏怡连锁酒店(南京古平岗店),骏怡连锁酒店南京鼓楼区古平岗店,yes
宜居酒店公寓(河西万达店),宜居酒店公寓(南京河西万达店),南京宜居酒店公寓万达广场店,yes
文润宾馆(文体路店),南京市文润宾馆文体路店,文润宾馆文体路店,yes
雅帆宾馆,南京雅帆宾馆,南京雅帆宾馆,yes
青皮树酒店(南京福建路店),格林豪泰(南京青皮树福建路店),青皮树酒店南京福建路店,yes
馨庭宾馆(苜蓿园地铁站店),南京馨庭宾馆,南京馨庭宾馆,yes
肯定精品水晶酒店(龙江地铁站新城市广场店),南京肯定精品水晶酒店,南京肯定精品水晶酒店河西龙江新城市广场店,yes
7天连锁酒店(南京火车站新模范马路地铁站店),7天连锁酒店(南京火车站新模范马路地铁站店),7天酒店南京火车站新模范马路地铁站店,yes
清沐连锁酒店(南京三牌楼大街店),清沐连锁酒店(南京三牌楼大街店),清沐连锁酒店南京三牌楼大街店,yes
清沐连锁酒店(南京南站店),清沐连锁酒店(南京南站店),清沐连锁酒店南京南站店,yes
南京朗昇希尔顿酒店(原南京希尔顿酒店),南京朗昇希尔顿酒店,南京朗昇希尔顿酒店,yes
优宿酒店公寓(金茂广场店),优宿酒店公寓(南京玄武湖金茂广场店),南京优宿酒店公寓玄武湖金茂广场店,yes
五洲宾馆(光华路店),南京五洲宾馆,南京五洲宾馆,yes
星程酒店(南京凤凰环球店),星程酒店(南京凤凰环球店),星程酒店南京凤凰环球店,yes
南京玄武门亚朵酒店,南京玄武门亚朵酒店,亚朵酒店南京玄武门店,yes
如家酒店(南京火车南站明发广场地铁站店),如家快捷酒店(南京火车南站明发广场地铁站店),如家快捷酒店南京火车南站明发广场地铁站店,yes
肯定精品酒店(江东北路店),肯定宾馆连锁(南京龙江三店),南京肯定宾馆连锁龙江3店,yes
好时假日酒店,南京好时假日酒店,南京好时假日酒店夫子庙店,yes
汉庭(南京龙江定淮门大街店),汉庭酒店(南京龙江定淮门大街店),汉庭酒店南京龙江定淮门大街店,yes
如家酒店(南京安德门地铁站店),如家快捷酒店(南京安德门地铁站店),如家快捷酒店南京安德门地铁站店,yes
维也纳酒店(南京南站汇景店),维也纳酒店(南京南站汇景店),维也纳酒店南京南站汇景店,yes
肯定精品酒店(河西金鹰世界店),肯定精品酒店(南京庐山路店),南京肯定精品酒店庐山路店,yes
枫林晚酒店公寓(南京河西万达店),枫林晚酒店公寓（南京河西万达店）,南京枫林晚酒店公寓河西万达店,yes
金杏仁紫金酒店(中山陵景区店),南京金杏仁宾馆,南京金杏仁紫金商务酒店,yes
南京斯维登服务公寓(雨润中央公馆店),南京斯维登服务公寓(雨润中央公馆),南京斯维登服务公寓雨润中央公馆店,yes
汉庭(南京中央门店),汉庭酒店(南京中央门店),汉庭酒店南京中央门店,yes
锦江都城(南京奥体中心酒店),锦江都城酒店(南京奥体中心店),锦江都城酒店南京奥体中心店,yes
南京舒服家酒店公寓(中环国际店),舒服家酒店公寓(南京中环国际店),南京舒服家酒店公寓中环国际店,yes
宫庭壹号精品酒店(中央路火车站店),南京宫庭壹号精品酒店,南京宫庭壹号精品酒店火车站店,yes
南京戴斯国际酒店,南京戴斯国际酒店,南京戴斯国际酒店,yes
红枫精品酒店(迈皋桥地铁站店),Q+红枫精品酒店(南京站迈皋桥地铁站店),Q+南京红枫精品酒店南京站迈皋桥地铁站店,yes
易佰良品酒店(南京南站店),易佰良品酒店(南京南站北广场店),易佰良品酒店南京南站店,yes
肯定宾馆(万达广场云锦路地铁站店),肯定连锁酒店(南京云锦路店),南京肯定连锁酒店万达金街店,yes
榴莲小星糖果酒店(玄武湖火车站店),榴莲小星糖果酒店(南京玄武湖店),南京榴莲小星糖果酒店玄武湖火车站店,yes
维也纳酒店(南京长江大桥阅江楼店),维也纳酒店(南京长江大桥阅江楼店),维也纳酒店江苏南京长江大桥阅江楼店,yes
肯定宾馆(中大医院店)(原马台街3店),肯定宾馆连锁(南京龙江三店),南京肯定宾馆连锁龙江3店,yes
锦江之星品尚(南京火车南站北广场店),锦江之星品尚(南京火车南站北广场店),锦江之星品尚酒店南京火车南站北广场店,yes
清沐连锁酒店(南京大桥南路家乐福店),清沐连锁酒店(南京大桥南路家乐福店),清沐连锁酒店南京大桥南路家乐福店,yes
山水时尚酒店(南京南站店),山水时尚酒店(南京南站店),山水时尚酒店南京南站店,yes
格林豪泰商务酒店(南京南站北广场店),格林豪泰(南京南站北广场店),格林豪泰酒店南京南站北广场店,yes
珍宝假日饭店(奥体中心店),珍宝假日饭店(南京奥体中心店),南京珍宝假日饭店奥体中心店,yes
宁静公寓,南京宁静精品公寓,南京宁静精品公寓,yes
清沐连锁酒店(南京挹江门店),清沐连锁酒店(南京挹江门店),清沐连锁酒店南京挹江门店,yes
蝶恋花园主题酒店(迈皋桥地铁站店),南京蝶恋花园酒店,南京蝶恋花园主题酒店,yes
汉庭(南京软件大道店),汉庭酒店(南京软件大道店),汉庭酒店南京软件大道店,yes
南京热窝大酒店,南京热窝大酒店,南京热窝酒店,yes
铂玥酒店公寓(火车站北广场店),南京铂玥酒店公寓,南京铂玥酒店,yes
布丁酒店(南京中山陵孝陵卫地铁站店),布丁酒店(南京中山陵孝陵卫店),布丁酒店南京中山陵孝陵卫地铁站店,yes
汉庭(南京光华路店),汉庭酒店(南京光华路店),汉庭酒店南京光华路店,yes
怡莱酒店(南京三牌楼邮电大学店),怡莱酒店(南京三牌楼邮电大学店),怡莱酒店南京三牌楼邮电大学店,yes
南京工业大学科苑宾馆,南京工业大学科苑宾馆,南京工业大学科苑宾馆,yes
必得主题宾馆(南京奥体兴隆大街地铁站店),必得主题宾馆(南京奥体中心兴隆大街地铁站店),南京必得主题宾馆兴隆大街地铁站店,yes
易佰良品酒店(南京南站双龙大道地铁站店),南京易佰良品酒店双龙大道地铁站店,易佰良品酒店南京南站双龙大道地铁站店,yes
汉庭(南京奥体中心店),汉庭酒店(南京奥体中心店),汉庭酒店南京奥体中心店,yes
肯定连锁酒店(月安店),南京肯定之星假日酒店,南京肯定之星假日酒店奥体店,yes
佳缘快捷宾馆(中海凯旋门店),南京佳缘快捷宾馆,南京佳缘快捷宾馆,yes
南京泰森酒店,南京泰森酒店,南京泰森酒店,yes
布丁酒店(南京火车站北广场店),布丁酒店(南京火车站北广场店),布丁酒店南京火车站北广场店,yes
7天连锁酒店(南京热河南路南艺后街店),7天连锁酒店(南京下关热河南路店),7天酒店南京热河南路南艺后街店,yes
Time主题酒店(南京南站软件大道地铁站店),南京time主题酒店,南京Time时尚主题酒店,yes
雨润中央公馆行政酒店(奥体中心店),雨润中央公馆行政酒店公寓(南京奥体中心店),南京雨润中央公馆奥体中心店,yes
壹哥青年旅舍(安德门地铁站店),南京壹哥青年旅舍安德门地铁站店,南京壹哥青年旅舍安德门地铁站店,yes
义都连锁宾馆(大桥南路家乐福店),义都连锁酒店(南京大桥南路店),南京义都酒店大桥南路店,yes
榴莲小星连锁酒店(大桥南路建宁路店),榴莲小星连锁酒店(南京建宁路店),南京榴莲小星快捷酒店建宁路店,yes
锦江都城(南京南站安德门大街店),锦江都城酒店(南京南站店),锦江都城酒店南京南站店,yes
布丁酒店(南京南站双龙大道地铁站店),布丁酒店(南京南站双龙大道地铁站店),布丁酒店南京南站双龙大道地铁站店,yes
南京乐橙酒店公寓,南京乐橙酒店公寓,南京乐橙酒店公寓,yes
南京译城青年太空舱公寓,南京译城青年太空舱旅舍,南京译城青年公寓,yes
南京香格里拉大酒店,南京香格里拉大酒店,南京香格里拉大酒店,yes
南京河西苏宁雅悦酒店,南京河西苏宁雅悦酒店,南京苏宁雅悦酒店,yes
海友酒店(南京红山动物园地铁站店),海友酒店(南京红山动物园地铁站店)(原宏运宾馆一店),海友酒店南京红山动物园地铁站店,yes
凯克精品酒店公寓(奥体中胜店),南京凯克精品酒店公寓(奥体中胜店),南京凯克精品酒店公寓奥体中胜店,yes
布丁酒店(南京南站北广场店),布丁酒店(南京南站北广场绿地之窗店),布丁酒店南京南站北广场店,yes
如果太空舱客栈,南京如果太空舱客栈,南京如果太空舱客栈,yes
那些年国际青年旅舍(中山陵蒋王庙地铁站店),南京那些年青年旅店,南京那些年国际青年旅店紫金山店,yes
容天商务宾馆,南京容天宾馆,南京容天宾馆,yes
布丁酒店(南京奥体庐山路店),布丁酒店(南京奥体庐山路店)(原清庭商务宾馆),布丁酒店南京奥体庐山路店,yes
派酒店(南京迈皋桥地铁站店),派酒店(南京迈皋桥地铁站店),派酒店南京迈皋桥地铁站店,yes
布丁酒店(南京大桥南路家乐福店),布丁酒店(南京大桥南路家乐福店),布丁酒店南京大桥南路家乐福店,yes
肯定精选酒店(红山路红山动物园店),肯定精选酒店(南京红山动物园店)(原肯定之星快捷酒店),肯定精选酒店南京红山动物园店,yes
惠怡宾馆,南京惠怡宾馆,南京惠怡快捷宾馆中山陵风景区下马坊地铁站店,yes
南京天禧酒店,南京天禧酒店,南京天禧精选酒店,yes
锦江之星(南京迈皋桥店),锦江之星(南京迈皋桥店),锦江之星酒店南京迈皋桥店,yes
喆·啡酒店(南京高铁南站店),喆啡酒店(南京高铁南站店),喆·啡酒店南京高铁南站店,yes
肯定宾馆(奥体中心店),万豪宾馆(南京黄山路店),南京万豪宾馆应天大街黄山路店,yes
尚俭太空舱公寓(奥体中心店),尚俭太空舱公寓(南京奥体中心店),尚俭太空舱公寓南京奥体中心店,yes
骏怡连锁酒店(奥体东地铁站店),骏怡连锁酒店(南京奥体中心店)(原普罗迪商务酒店),骏怡连锁酒店江苏南京建邺区奥体中心店,yes
南京威孚金宁宾馆,南京威孚金宁宾馆,南京威孚金宁宾馆,yes
白宫大酒店,南京白宫大酒店,南京白宫大酒店,yes
可为家公寓酒店,南京可为家精品酒店,南京可为家公寓酒店南站店,yes
汉庭(南京红山动物园地铁站店),汉庭酒店(南京红山动物园地铁站店)(原红山动物园店),汉庭酒店南京红山动物园店,yes
海豪旅馆(火车站玄武湖店),南京海豪旅馆玄武湖店,南京海豪旅馆玄武湖店,yes
博众快捷宾馆(河西金鹰世界店),博众快捷宾馆(南京河西店),南京博众快捷宾馆河西店,yes
如家酒店(南京迈皋桥地铁站店),如家快捷酒店(南京迈皋桥地铁站店),如家快捷酒店南京迈皋桥地铁站店,yes
恋恋家宾馆,南京恋之家宾馆,南京恋恋家快捷宾馆,yes
雅雅之星快捷宾馆,南京雅雅宾馆,南京雅雅宾馆,yes
涵月楼首丽斯酒店,南京涵月楼首丽斯酒店,南京涵月楼首丽斯酒店,yes
春常在快捷酒店(东宝路苏宁天玺国际广场店),南京春常在快捷酒店,南京春常在快捷酒店,yes
南京万象恒元酒店(建宁路店),南京万象恒元酒店,南京万象恒元酒店,yes
颐和南站公寓,南京颐和南站公寓,南京颐和南站公寓,yes
汉庭(南京小行店),汉庭酒店(南京小行店),汉庭酒店南京小行店,yes
瑜泽酒店公寓,南京瑜泽酒店公寓,南京瑜泽酒店公寓,yes
南京明发国际大酒店,南京明发国际大酒店,南京明发国际大酒店,yes
杨灯宾馆(火车站龙蟠路店),杨灯宾馆(南京龙蟠路店),南京杨灯宾馆龙蟠路店,yes
雅兰阁宾馆,南京雅兰阁宾馆,南京雅兰阁宾馆奥体中心店,yes
尚客优连锁酒店(南京南站双龙大道地铁站店),尚客优连锁酒店(南京南站双龙大道地铁站店),尚客优连锁酒店南京南站双龙大道地铁站店,yes
朗轩酒店公寓,南京朗轩酒店公寓,南京朗轩酒店公寓,yes
万度宾馆(南京南站店),南京万度快捷酒店南站店,南京万度宾馆,yes
万度宾馆(南京南站店),南京万度快捷酒店南站店,南京万度快捷酒店南站店,yes
定格宾馆(南站店),南京定格宾馆,南京定格宾馆南京南站店,yes
清沐连锁酒店(南京迈皋桥店),清沐连锁酒店(南京迈皋桥店),清沐连锁酒店南京迈皋桥店,yes
驿度空间青年公寓,南京驿度空间青年公寓万达广场店,南京驿度空间青年公寓万达广场店,yes
南京丁山花园大酒店,南京丁山花园大酒店,南京丁山花园大酒店,yes
派酒店(南京奥体会展中心店),派·酒店(南京奥体会展中心店),派酒店南京奥体会展中心店,yes
格林豪泰快捷酒店(南京经五路月苑店),格林豪泰(南京经五路月苑店),格林豪泰酒店南京经五路月苑店,yes
锦江之星(南京溧水珍珠路店),锦江之星(溧水珍珠路店),锦江之星酒店南京溧水珍珠路店,yes
如家酒店(南京五塘广场地铁站店),如家快捷酒店(南京五塘广场地铁站店),如家快捷酒店南京五塘广场地铁站店,yes
国际青年会议酒店,国际青年会议酒店(南京国际青年文化中心店),南京国际青年会议酒店,yes
7天优品酒店(南京迈皋桥地铁站晓庄店),7天优品(南京迈皋桥地铁站晓庄店),7天优品酒店南京迈皋桥地铁站晓庄店,yes
过家家设计师酒店(南京南站楚翘城店),南京过家家设计师酒店,南京过家家设计师酒店,yes
维也纳国际酒店(南京南站中心店),维也纳国际酒店(南京南站中心店),维也纳国际酒店南京南站中心店,yes
玉英宾馆,南京玉英宾馆,南京玉英宾馆中山陵店,yes
尚客优连锁酒店(溧水汽车站店),尚客优(南京溧水长途汽车站店),南京尚客优连锁酒店溧水汽车站店,yes
速8酒店(南京溧水区政府店),速8酒店(南京溧水区政府店)(原溧水中大街店),速8酒店南京溧水区政府店,yes
格林联盟酒店(南京江东中路奥体东门店),格林联盟酒店(南京江东中路奥体东门店),格林联盟南京国际博览中心奥体东门店,yes
华柏主题宾馆(宏运大道店),南京华柏主题宾馆宏运大道店,南京华柏主题宾馆宏运大道店,yes
八月时尚主题宾馆(大东门店),南京八月主题宾馆,南京八月时尚主题宾馆步行街店,yes
布丁酒店(南京中山陵马群地铁站店),布丁酒店(南京中山陵马群地铁站店),布丁酒店南京中山陵马群地铁站店,yes
娱加求职公寓,南京娱佳求职公寓,南京娱佳求职公寓,yes
维也纳国际酒店(南京南站东麒路店),维也纳国际酒店(南京南站东麒路店),维也纳国际酒店南京南站东麒路店,yes
维也纳国际酒店(南京河海大学地铁站店),维也纳国际酒店(南京河海大学地铁站店),维也纳国际酒店南京河海大学地铁站店,yes
南京青筑青年旅社,南京青筑青年旅社,南京青筑青年旅社,yes
铂纳屋精品酒店公寓(奥体中胜地铁站店),南京凯克精品酒店公寓(奥体中胜店),南京凯克精品酒店公寓奥体中胜店,yes
菲亚达酒店,南京菲亚达酒店,南京菲亚达酒店,yes
海友酒店(南京奥体大街店),海友酒店(南京奥体大街店),海友酒店南京奥体大街店,yes
如家酒店(南京江宁龙眠大道地铁站天元东路大学城店),如家快捷酒店(南京江宁龙眠大道地铁站天元东路大学城店),如家快捷酒店南京江宁龙眠大道地铁站天元东路大学城店,yes
芃程之旅藏式主题客栈(南京南站),南京芃程之旅特色客栈,南京芃程之旅特色客栈,yes
阳光假日酒店(交通路店),溧水阳光假日酒店(南京交通路店),南京溧水阳光假日酒店交通路新店,yes
城市牧野假日酒店,南京城市牧野假日酒店,南京城市牧野假日酒店奥体中心店,yes
南京大观视界酒店,南京大观视界酒店,南京大观视界酒店,yes
汉庭(南京中央北路店),汉庭酒店(南京中央北路店),汉庭酒店南京中央北路店,yes
秋水兰亭主题酒店,南京秋水兰亭主题酒店,南京秋水兰亭主题酒店,yes
锦江之星(南京江宁天印大道店),锦江之星(南京江宁天印大道店),锦江之星酒店南京江宁天印大道店,yes
南京轩宜酒店公寓,南京苏欣求职公寓,南京苏欣求职公寓,yes
九韵精品酒店(南工大慕斯荟店),九韵精品酒店(南京南工大慕斯荟店),南京九韵精品酒店南工大慕斯荟店,yes
肯定宾馆(沃尔玛地铁站一店),肯定宾馆连锁(南京迈皋桥店),南京肯定宾馆连锁迈皋桥店,yes
尚客优连锁酒店(河海大学地铁站店),尚客优连锁酒店(南京河海大学地铁站店),尚客优连锁酒店南京江宁区河海大学店,yes
99旅馆连锁(南京胜太路地铁站店),99旅馆连锁(南京胜太路地铁站店),99旅馆连锁南京胜太路地铁站店,yes
伊萨卡酒店公寓,南京伊萨卡酒店公寓,南京伊萨卡酒店公寓,yes
如家酒店(南京六合金宁广场步行街中心店),如家快捷酒店(南京六合金宁广场步行街店),如家快捷酒店南京六合金宁广场步行街店,yes
汉庭(南京仙鹤门紫东商业街店),汉庭酒店(南京仙鹤门紫东商业街店)(原仙鹤门店),汉庭酒店南京仙鹤门紫东商业街店,yes
7天优品(南京信息工程大学地铁站店),7天优品酒店(南京信息工程大学地铁站店),7天优品酒店南京信息工程大学地铁站店,yes
7天优品酒店(南京奥体国际会展中心店),7天优品酒店(南京奥体国际会展中心店),7天优品酒店南京奥体国际会展中心店,yes
阳光假日酒店(珍珠南路店),溧水阳光假日酒店(南京珍珠南路一店)(原珍珠泉店),南京溧水阳光假日酒店珍珠南路一店,yes
布丁酒店(南京江宁大学城店),布丁酒店(南京竹山路地铁站店),布丁酒店南京竹山路地铁站店,yes
锦江之星风尚(南京江宁万达广场东新南路店),锦江之星风尚(南京江宁万达广场东新南路店),锦江之星风尚酒店南京江宁万达广场东新南路店,yes
清沐连锁酒店(南京江宁万达竹山路店),清沐连锁酒店(南京江宁竹山路万达店),清沐连锁酒店南京江宁竹山路万达店,yes
汉庭(南京江宁交院地铁站店),汉庭酒店(南京江宁交院地铁站店)(原江宁交院店),汉庭酒店南京江宁交院店,yes
汉庭(南京河西国际博览中心店),汉庭酒店(南京河西国际博览中心店)(原雨润大街地铁站店),汉庭酒店南京河西国际博览中心店,yes
卡路福酒店(迈皋桥地铁店),南京卡路福快捷酒店,南京卡路福快捷酒店,yes
蜜悦士精品情侣主题酒店,南京蜜悦士精品主题酒店,南京蜜悦士精品主题酒店,yes
格林豪泰商务酒店(南京溧水秦淮大道店),格林豪泰(南京秦淮大道店),格林豪泰酒店南京溧水县秦淮大道青年路店,yes
清沐精选酒店(南京江浦文德路地铁站店),清沐精选酒店南京浦口文德路地铁站店,清沐精选酒店南京浦口文德路地铁站店,yes
晶洁宾馆,南京晶洁宾馆,南京晶洁宾馆,yes
树懒精品酒店,南京树懒精品宾馆,南京树懒精品宾馆,yes
汉庭(南京浦口南大店),汉庭酒店(南京浦口南大店),新品汉庭酒店南京浦口南大店,yes
布丁酒店(南京仙林大学城店),布丁酒店(南京仙林大学城店),布丁酒店南京仙林大学城店,yes
如家酒店(南京江宁上元大街万达广场店),如家快捷酒店(南京江宁上元大街万达广场店),如家快捷酒店南京江宁上元大街万达广场店,yes
梦荷快捷宾馆,南京梦荷快捷宾馆,南京梦荷快捷宾馆江宁大学城龙眠大道地铁站店,yes
汉庭(南京江宁黄金海岸店),汉庭酒店(南京江宁黄金海岸店),新品汉庭酒店南京江宁黄金海岸店,yes
